RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  2    M =  5

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.720E+03  3.489E+03
    1    2     1     0  ---    0  2.1E-04  1.0E+00  1.120E+03  7.456E+02
    2    3     0     0  con    0  1.0E+00  3.5E-01  5.787E+02  4.075E+02
    3    4     0     0  con    0  1.0E+00  5.2E-01  2.525E+02  1.585E+02
    4    5     0     0  con    0  1.0E+00  5.0E-01  1.389E+02  4.868E+01
    5    6     0     0  con    0  1.0E+00  5.1E-01  3.499E+01  4.018E+00
    6    7     0     0  con    0  1.0E+00  1.6E-01  1.773E+00  9.974E-01
    7    8     0     0  con    0  1.0E+00  8.7E-03  6.037E-02  9.896E-01
    8   10     0     0  con    1  5.0E+00  8.1E-04  6.494E-02  9.896E-01
    9   17     0     0  con    6  2.5E+01  2.3E-01  3.098E+00  8.996E-01
   10   20     0     0  con    2  8.5E-03  3.1E-03  3.269E+00  8.995E-01
   11   22     0     0  con    1  5.0E+00  8.0E-02  3.549E+00  8.324E-01
   12   24     0     0  con    1  4.3E-01  1.2E-01  5.265E+00  7.412E-01
   13   25     0     0  con    0  1.0E+00  2.1E-01  6.098E+00  5.415E-01
   14   26     0     0  con    0  1.0E+00  1.9E-01  9.283E+00  4.083E-01
   15   28     0     0  con    1  3.0E-01  1.6E-01  2.477E+00  1.725E-01
   16   30     0     0  con    1  1.2E-01  1.2E-01  6.009E+00  1.293E-01
   17   31     0     0  con    0  1.0E+00  1.7E-02  2.479E+00  1.102E-01
   18   32     0     0  con    0  1.0E+00  3.6E-02  1.157E+00  8.582E-02
   19   33     0     0  con    0  1.0E+00  1.9E-01  1.866E+00  1.880E-02
   20   34     0     0  con    0  1.0E+00  9.5E-02  1.526E+00  3.382E-03
   21   36     0     0  con    1  2.8E-01  5.2E-03  1.770E-01  1.468E-03
   22   37     0     0  con    0  1.0E+00  3.7E-02  9.960E-02  2.950E-05
   23   38     0     0  con    0  1.0E+00  5.1E-03  1.787E-02  2.403E-07
   24   39     0     0  con    0  1.0E+00  2.0E-04  1.090E-03  1.083E-09
   25   40     0     0  con    0  1.0E+00  2.3E-05  1.935E-05  1.715E-12

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Total User time 1.000E-02 seconds.

on    0  1.0E+00  2.3E-01  4.813E-01  1.745E+02
   28   74     2     1  con    2  5.0E-01  7.7E-02  3.533E-01  1.745E+02
   29   77     2     1  con    2  5.0E-01  6.1E-02  3.504E-01  1.744E+02
   30   80     2     1  con    2  5.0E-01  9.5E-02  5.027E-01  1.744E+02
   31   83     1     0  bnd    2  5.0E-01  5.3E-02  1.031E+00  1.744E+02
   32   84     1     0  con    0  1.0E+00  1.1E-01  5.863E-01  1.744E+02
   33   87     2     1  con    2  5.0E-01  2.7E-02  3.585E-01  1.743E+02
   34   88     1     0  con    0  1.0E+00  5.4E-02  2.462E-01  1.743E+02
   35   89     1     0  con    0  1.0E+00  5.3E-02  4.631E-01  1.743E+02
   36   90     1     0  con    0  1.0E+00  8.2E-02  1.476E-01  1.743E+02
   37   91     1     0  con    0  1.0E+00  3.1E-02  3.576E-01  1.743E+02
   38   92     1     0  con    0  1.0E+00  1.4E-02  2.438E-01  1.743E+02
   39   93     1     0  con    0  1.0E+00  2.4E-02  2.608E-01  1.743E+02
   40   94     1     0  con    0  1.0E+00  3.2E-02  2.440E-01  1.743E+02
   41   95     1     0  con    0  1.0E+00  2.5E-02  1.208E-01  1.743E+02
   42   96     1     0  con    0  1.0E+00  3.7E-02  1.017E-01  1.743E+02
   43   97     1     0  con    0  1.0E+00  3.0E-02  5.983E-02  1.743E+02
   44   98     1     0  con    0  1.0E+00  2.2E-02  2.871E-01  1.743E+02
   45   99     1     0  con    0  1.0E+00  5.9E-03  1.546E-01  1.743E+02
   46  100     1     0  con    0  1.0E+00  1.4E-02  6.001E-02  1.743E+02
   47  101     1     0  con    0  1.0E+00  2.0E-02  2.205E-01  1.743E+02
   48  102     1     0  con    0  1.0E+00  2.0E-02  6.511E-02  1.743E+02
   49  103     1     0  con    0  1.0E+00  1.5E-02  7.523E-02  1.743E+02
   50  106     1     0  bnd    2  5.0E-01  6.5E-03  5.571E-01  1.743E+02
   51  107     1     0  con    0  1.0E+00  3.1E-03  9.496E-02  1.743E+02
   52  108     1     0  con    0  1.0E+00  1.6E-03  5.367E-02  1.743E+02
   53  109     1     0  con    0  1.0E+00  8.4E-03  3.563E-02  1.743E+02
   54  110     1     0  con    0  1.0E+00  8.7E-03  4.096E-02  1.743E+02
   55  111     1     0  con    0  1.0E+00  1.6E-02  2.732E-02  1.743E+02
   56  112     1     0  con    0  1.0E+00  1.9E-02  1.798E-01  1.743E+02
   57  113     1     0  con    0  1.0E+00  5.3E-03  5.707E-02  1.743E+02
   58  114     1     0  con    0  1.0E+00  4.2E-03  1.816E-02  1.743E+02
   59  115     1     0  con    0  1.0E+00  1.1E-03  1.855E-02  1.743E+02
   60  116     1     0  con    0  1.0E+00  4.1E-03  1.096E-01  1.743E+02
   61  117     1     0  con    0  1.0E+00  3.3E-03  1.087E-01  1.743E+02
   62  118     1     0  con    0  1.0E+00  1.1E-02  2.249E-01  1.743E+02
   63  119     1     0  con    0  1.0E+00  2.7E-03  5.208E-02  1.743E+02
   64  120     1     0  con    0  1.0E+00  7.2E-04  1.157E-02  1.743E+02
   65  121     1     0  con    0  1.0E+00  1.5E-03  2.669E-02  1.743E+02
   66  122     1     0  con    0  1.0E+00  2.4E-03  5.395E-02  1.743E+02
   67  124     1     0  con    1  2.6E-01  2.7E-03  2.117E-02  1.743E+02
   68  125     1     0  con    0  1.0E+00  2.8E-03  2.385E-02  1.743E+02
   69  126     1     0  con    0  1.0E+00  2.8E-03  2.317E-02  1.743E+02
   70  127     1     0  con    0  1.0E+00  1.4E-03  4.418E-02  1.743E+02
   71  128     1     0  con    0  1.0E+00  3.0E-03  1.896E-02  1.743E+02
   72  129     1     0  con    0  1.0E+00  2.2E-03  4.024E-02  1.743E+02
   73  130     1     0  con    0  1.0E+00  2.3E-03  1.023E-02  1.743E+02
   74  131     1     0  con    0  1.0E+00  2.2E-03  7.973E-03  1.743E+02
   75  132     1     0  con    0  1.0E+00  2.3E-03  1.001E-02  1.743E+02
   76  133     1     0  con    0  1.0E+00  3.0E-03  1.043E-02  1.743E+02
   77  135     1     0  con    1  4.6E-01  9.7E-04  2.973E-02  1.743E+02
   78  136     1     0  con    0  1.0E+00  5.3E-04  2.290E-02  1.743E+02
   79  137     1     0  con    0  1.0E+00  1.2E-03  7.476E-03  1.743E+02
   80  138     1     0  con    0  1.0E+00  6.2E-04  5.627E-03  1.743E+02
   81  139     1     0  con    0  1.0E+00  1.5E-03  7.352E-03  1.743E+02
